,static %,dynamic %,"day, 0.25m, 2°","day, 0.50m, 5°","day, 5.00m, 10°"
0,5,0,61.2,72.3,81.8
1,10,0,75.0,84.6,92.8
2,15,0,79.9,89.1,95.1
3,20,0,81.8,90.8,96.5
4,25,0,83.3,91.5,96.7
5,30,0,84.1,91.9,97.1
6,35,0,84.8,92.1,97.1
7,40,0,85.1,92.4,97.6
8,45,0,85.0,93.2,97.9
9,50,0,85.2,94.2,97.6
10,55,0,85.8,94.1,97.8
11,60,0,86.0,93.9,97.8
12,65,0,86.9,94.3,98.1
13,70,0,85.3,94.1,97.9
14,75,0,86.2,94.5,98.3
15,80,0,86.7,94.4,98.3
16,85,0,86.5,93.3,97.8
17,90,0,87.4,94.7,98.2
18,95,0,87.7,95.0,98.3
19,100,0,87.4,94.9,98.3
20,5,100,63.3,74.3,84.6
21,10,100,74.2,85.8,93.3
22,15,100,79.6,88.8,95.4
23,20,100,82.6,90.7,96.2
24,25,100,83.1,91.3,96.8
25,30,100,83.5,90.8,96.6
26,35,100,84.3,92.6,97.3
27,40,100,86.2,93.3,97.6
28,45,100,85.2,92.7,97.3
29,50,100,85.3,93.2,97.5
30,55,100,85.8,93.2,97.9
31,60,100,85.7,93.4,97.9
32,65,100,86.3,94.3,98.1
33,70,100,85.6,93.7,97.9
34,75,100,86.0,94.3,98.1
35,80,100,86.5,93.8,98.3
36,85,100,86.8,94.5,98.2
37,90,100,86.4,94.7,98.2
38,95,100,87.4,94.9,98.2
39,100,100,86.4,94.5,98.2
