,static %,dynamic %,0.10m,0.20m,0.50m
0,5,0,24.152,49.348,74.961
1,10,0,54.564,82.264,96.296
2,15,0,67.919,91.706,98.592
3,20,0,76.161,95.409,99.478
4,25,0,81.116,97.235,99.687
5,30,0,85.342,97.34,99.791
6,35,0,85.133,97.966,99.844
7,40,0,87.324,98.07,99.791
8,45,0,87.272,98.748,99.948
9,50,0,89.411,98.852,100.0
10,55,0,89.306,99.322,100.0
11,60,0,90.193,99.322,99.948
12,65,0,89.202,99.687,100.0
13,70,0,90.819,99.27,99.948
14,75,0,90.662,99.478,100.0
15,80,0,90.35,99.426,100.0
16,85,0,90.923,99.426,100.0
17,90,0,91.758,99.374,100.0
18,95,0,91.862,99.583,100.0
19,100,0,92.227,99.635,100.0
20,5,100,26.552,51.435,73.187
21,10,100,48.878,72.613,86.802
22,15,100,60.146,79.708,91.341
23,20,100,65.571,83.359,93.532
24,25,100,69.588,86.594,95.097
25,30,100,72.561,89.15,95.827
26,35,100,76.004,90.089,96.609
27,40,100,77.152,91.08,96.557
28,45,100,78.508,92.593,97.183
29,50,100,80.23,93.219,97.235
30,55,100,81.899,94.366,97.757
31,60,100,82.525,94.262,97.757
32,65,100,83.829,95.044,98.07
33,70,100,83.672,95.67,98.279
34,75,100,85.446,95.827,98.331
35,80,100,86.489,96.714,98.592
36,85,100,87.011,96.766,98.748
37,90,100,86.802,97.027,98.852
38,95,100,87.637,97.34,98.748
39,100,100,88.002,97.6,98.748
