,static %,dynamic %,"day, 0.25m, 2°","day, 0.50m, 5°","day, 5.00m, 10°"
0,5,0,61.4,74.5,83.6
1,10,0,76.7,86.3,93.3
2,15,0,81.3,89.8,95.3
3,20,0,82.6,90.2,96.1
4,25,0,84.3,92.4,96.6
5,30,0,83.5,92.1,96.7
6,35,0,85.2,93.0,97.2
7,40,0,84.8,92.5,97.1
8,45,0,86.3,93.2,97.5
9,50,0,85.1,93.9,97.6
10,55,0,85.7,93.6,97.6
11,60,0,86.7,93.7,97.7
12,65,0,86.7,94.3,97.9
13,70,0,85.7,94.2,98.1
14,75,0,86.2,93.9,97.9
15,80,0,86.0,93.9,98.1
16,85,0,86.4,94.4,98.2
17,90,0,86.7,94.1,98.3
18,95,0,86.4,94.2,98.2
19,100,0,86.4,94.5,98.4
20,5,100,60.7,73.1,82.9
21,10,100,75.0,85.2,93.0
22,15,100,79.7,89.3,95.4
23,20,100,81.9,91.5,96.5
24,25,100,83.3,92.5,97.0
25,30,100,84.3,91.7,97.1
26,35,100,84.2,92.7,97.1
27,40,100,84.2,92.7,97.5
28,45,100,85.2,93.3,97.7
29,50,100,85.2,93.2,97.5
30,55,100,85.4,92.6,97.8
31,60,100,86.7,94.1,98.1
32,65,100,86.8,94.3,98.1
33,70,100,86.9,93.4,98.1
34,75,100,86.4,93.8,97.9
35,80,100,86.7,94.3,98.1
36,85,100,86.9,94.7,98.3
37,90,100,86.3,94.3,98.2
38,95,100,87.0,94.2,98.5
39,100,100,87.3,94.5,98.3
