,static %,dynamic %,"day, 0.25m, 2°","day, 0.50m, 5°","day, 5.00m, 10°"
0,5,0,62.0,72.5,81.4
1,10,0,75.6,85.6,92.5
2,15,0,79.4,89.2,94.9
3,20,0,82.8,91.4,95.9
4,25,0,82.9,91.1,96.7
5,30,0,84.7,92.5,97.1
6,35,0,84.7,93.0,97.5
7,40,0,84.3,93.1,97.6
8,45,0,86.3,93.7,97.6
9,50,0,85.7,93.1,97.7
10,55,0,85.2,93.4,97.7
11,60,0,85.9,93.3,97.6
12,65,0,85.3,94.1,98.1
13,70,0,86.4,94.2,97.9
14,75,0,87.0,93.8,98.2
15,80,0,86.0,93.8,98.2
16,85,0,86.8,94.1,98.4
17,90,0,87.3,94.3,98.3
18,95,0,86.7,94.3,98.1
19,100,0,86.8,94.9,98.5
20,5,100,59.7,72.8,82.8
21,10,100,74.9,85.0,92.4
22,15,100,80.9,89.2,95.4
23,20,100,82.5,89.9,95.6
24,25,100,82.2,91.3,96.8
25,30,100,84.7,92.0,96.7
26,35,100,84.5,92.6,97.2
27,40,100,84.5,93.4,97.6
28,45,100,85.7,93.2,97.6
29,50,100,85.8,93.3,97.7
30,55,100,85.9,93.6,97.6
31,60,100,85.4,93.8,97.7
32,65,100,85.4,94.4,97.9
33,70,100,87.3,94.2,97.5
34,75,100,86.7,94.4,97.9
35,80,100,86.5,94.1,98.1
36,85,100,86.2,94.3,98.1
37,90,100,87.0,94.8,98.1
38,95,100,86.3,94.3,98.1
39,100,100,88.0,94.7,98.3
