,static %,dynamic %,0.10m,0.20m,0.50m
0,5,0,24.726,51.33,77.882
1,10,0,52.947,82.316,95.253
2,15,0,69.275,91.132,98.905
3,20,0,77.726,94.627,99.322
4,25,0,81.168,96.453,99.478
5,30,0,83.829,97.548,99.583
6,35,0,84.768,97.966,99.948
7,40,0,87.376,98.852,99.896
8,45,0,88.002,98.487,99.948
9,50,0,88.889,99.322,99.948
10,55,0,89.411,98.957,100.0
11,60,0,89.254,98.957,99.948
12,65,0,89.724,99.478,99.948
13,70,0,90.871,99.791,100.0
14,75,0,90.089,99.531,100.0
15,80,0,91.862,99.687,100.0
16,85,0,91.706,99.687,100.0
17,90,0,92.019,99.583,100.0
18,95,0,91.288,99.844,100.0
19,100,0,92.123,99.844,100.0
20,5,100,29.421,51.382,74.231
21,10,100,47.939,72.77,87.898
22,15,100,59.52,80.282,91.601
23,20,100,64.319,83.099,93.375
24,25,100,70.005,86.75,95.044
25,30,100,73.97,89.202,96.348
26,35,100,75.013,90.193,96.453
27,40,100,76.995,91.184,96.557
28,45,100,78.247,91.341,96.87
29,50,100,80.386,93.062,97.34
30,55,100,81.899,93.688,97.392
31,60,100,83.412,94.679,97.809
32,65,100,82.473,94.94,97.861
33,70,100,84.82,95.514,98.122
34,75,100,84.246,96.244,98.592
35,80,100,86.385,96.505,98.435
36,85,100,87.533,96.974,98.748
37,90,100,87.011,96.87,98.696
38,95,100,87.689,97.444,98.696
39,100,100,88.472,97.444,98.852
