,static %,dynamic %,0.10m,0.20m,0.50m
0,5,0,24.883,49.87,75.639
1,10,0,55.608,82.994,95.67
2,15,0,67.397,91.601,98.435
3,20,0,78.873,95.357,99.374
4,25,0,81.168,96.922,99.478
5,30,0,84.455,97.34,99.739
6,35,0,85.968,98.122,99.896
7,40,0,86.698,98.226,99.844
8,45,0,87.272,98.696,99.948
9,50,0,88.941,98.957,100.0
10,55,0,88.993,98.696,100.0
11,60,0,89.828,99.374,100.0
12,65,0,90.506,99.061,99.948
13,70,0,91.393,99.322,100.0
14,75,0,91.654,99.635,100.0
15,80,0,91.236,99.531,100.0
16,85,0,91.601,99.635,100.0
17,90,0,91.81,99.687,100.0
18,95,0,91.445,99.635,100.0
19,100,0,92.384,99.635,100.0
20,5,100,26.813,51.852,71.883
21,10,100,48.774,72.3,88.002
22,15,100,57.173,80.23,91.967
23,20,100,65.884,83.568,94.105
24,25,100,70.37,86.437,95.305
25,30,100,73.239,88.628,95.722
26,35,100,76.682,89.619,96.035
27,40,100,76.943,90.975,96.87
28,45,100,78.091,91.81,97.131
29,50,100,78.821,92.54,97.287
30,55,100,82.212,93.792,97.496
31,60,100,81.534,93.584,97.653
32,65,100,82.838,94.105,97.705
33,70,100,83.62,94.888,98.018
34,75,100,85.55,95.879,98.226
35,80,100,86.02,95.931,98.435
36,85,100,87.011,96.714,98.644
37,90,100,87.428,96.87,98.592
38,95,100,87.898,96.818,98.696
39,100,100,88.263,97.653,98.905
