/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
197,14,566,10,825,21,1110
198,18,546,19,860,44,1108
199,9,572,25,854,25,1172
200,14,559,22,860,23,1151
201,19,553,19,833,30,1207
202,12,509,22,836,28,1201
203,10,559,28,818,31,1179
204,17,552,18,826,24,1255
205,20,562,18,837,33,1306
206,18,543,19,857,28,1268
207,15,567,14,836,30,1263
208,17,538,24,808,40,1207
209,20,556,20,824,58,1291
210,18,576,16,804,36,1228
211,15,572,25,761,28,1309
212,10,552,19,783,29,1332
213,13,582,18,796,33,1262
214,8,555,20,837,25,1233
215,12,540,20,810,36,1270
216,11,548,14,825,31,1290
217,15,545,13,815,30,1290
218,11,542,14,802,45,1258
219,10,525,16,778,37,1262
220,10,536,18,811,45,1276
221,10,551,14,789,35,1231
222,9,551,14,807,39,1266
223,13,560,14,829,34,1292
224,9,598,16,869,34,1262
225,17,596,22,832,50,1376
226,13,622,13,823,32,1262
227,16,588,13,849,37,1388
228,12,590,14,847,31,1351
229,9,595,12,838,41,1370
230,22,592,14,851,52,1422
231,15,556,20,874,45,1289
232,14,567,10,911,40,1336
233,11,566,14,963,30,1407
234,14,551,16,955,29,1404
235,14,539,22,941,40,1387
236,12,517,18,970,33,1268
237,6,546,12,985,35,1287
238,8,496,13,1020,34,1266
239,13,520,12,969,39,1312
240,8,520,12,951,23,1142
241,11,535,19,957,39,1228
242,18,518,22,962,28,1191
243,14,547,25,982,28,1265
244,9,542,23,970,28,1195
245,11,536,24,945,30,1139
246,10,540,34,972,38,1163
247,11,523,17,918,34,1207
248,13,567,17,921,25,1151
249,16,569,34,928,46,1188
250,14,602,23,919,29,1123
251,27,609,24,934,47,1137
252,24,598,29,880,29,1071
253,15,601,27,906,42,1080
254,13,605,30,910,39,1132
255,20,599,26,951,26,1056
256,19,566,30,961,27,1044
257,20,600,19,973,22,1005
258,18,586,29,1085,38,1029
259,17,552,20,1043,32,1054
260,9,560,23,1057,25,1033
261,11,587,22,1045,31,1116
262,17,613,12,1074,35,1162
263,17,602,24,1104,28,1116
264,13,572,27,1124,30,1119
265,13,559,25,1130,23,1122
266,12,535,22,1078,24,1070
267,13,529,20,1047,43,1211
268,16,556,26,1068,31,1243
269,21,557,21,1074,25,1242
270,17,548,23,1076,24,1113
271,14,555,19,1109,38,1167
272,16,580,26,1100,33,1238
273,16,551,23,1115,32,1272
274,16,538,25,1105,32,1200
275,26,526,28,1119,40,1151
276,17,542,23,1126,28,1197
277,17,545,35,1139,38,1219
278,24,514,44,1159,34,1264
279,22,542,34,1163,26,1258
280,19,532,34,1111,37,1260
281,14,550,20,1118,33,1235
282,22,557,25,1124,44,1257
283,21,543,19,1166,41,1285
284,27,566,29,1176,29,1291
285,24,555,26,1149,31,1313
286,25,580,34,1146,36,1369
287,18,544,34,1135,25,1272
288,20,590,31,1141,33,1334
289,20,565,32,1106,23,1244
290,18,608,29,1134,31,1360
291,25,602,30,1124,38,1327
292,10,615,27,1132,32,1354
293,17,593,24,1121,23,1329
294,24,633,32,1088,41,1395
295,18,616,27,1096,28,1268
296,15,608,22,1126,41,1324
297,22,573,22,1111,44,1269
298,16,590,23,1148,49,1344
299,22,584,17,1123,38,1303
300,20,618,23,1097,36,1284
301,19,601,27,1118,51,1279
302,27,630,27,1127,36,1240
303,22,618,29,1111,41,1232
304,22,641,25,1120,37,1146
305,27,649,25,1110,48,1158
306,26,642,30,1120,42,1161
307,36,614,35,1133,46,1195
308,31,627,28,1118,38,1151
309,31,615,30,1139,45,1138
310,30,590,41,1094,55,1137
311,28,605,22,1143,52,1176
312,20,647,30,1130,67,1176
313,22,624,20,1109,49,1144
314,27,617,19,1103,48,1151
315,27,640,27,1063,53,1142
316,26,659,26,1093,51,1142
317,21,644,21,1095,62,1138
318,15,619,26,1094,51,1158
319,18,660,22,1076,64,1175
320,21,647,25,1057,58,1204
321,22,619,24,1034,36,1259
322,20,640,24,1008,55,1248
323,16,615,19,1030,54,1278
324,23,644,22,1041,56,1230
325,18,620,26,1026,58,1265
326,18,655,25,1099,52,1229
327,14,637,22,999,53,1211
328,14,672,21,991,43,1232
329,21,660,26,977,60,1238
330,11,659,26,1005,44,1304
331,16,648,31,1002,52,1315
332,20,664,37,1029,61,1391
333,25,627,22,1001,53,1303
334,32,640,22,945,53,1364
335,25,638,25,993,51,1284
336,19,593,39,987,51,1267
337,29,639,29,965,51,1331
338,23,659,30,1010,58,1345
339,18,653,21,989,77,1257
340,30,688,27,1040,52,1328
341,20,703,35,1024,64,1270
342,26,706,30,1051,61,1297
343,17,721,28,1138,66,1325
344,31,708,35,1116,55,1340
345,21,677,29,1100,39,1306
346,22,728,33,1107,54,1339
347,25,724,31,1120,48,1349
348,29,750,41,1099,50,1395
349,23,737,27,1052,37,1343
350,19,731,26,1101,48,1396
351,30,725,28,1069,53,1416
352,28,729,33,1081,49,1412
353,26,713,32,1087,45,1354
354,28,725,34,1060,40,1402
355,35,765,36,1131,53,1381
356,31,736,43,1119,48,1422
357,30,752,41,1163,49,1368
358,37,746,44,1168,44,1341
359,28,738,48,1201,53,1350
360,42,813,51,1181,55,1402
361,21,784,40,1250,52,1384
362,33,826,38,1227,52,1391
363,42,786,48,1289,64,1449
364,39,818,56,1271,51,1414
365,34,753,53,1244,60,1440
366,30,770,61,1210,55,1319
367,44,738,50,1129,64,1392
368,48,756,57,1055,46,1375
369,38,761,44,1012,57,1442
370,37,701,49,976,62,1434
371,42,735,70,988,54,1400
372,39,718,59,929,69,1395
373,45,733,68,968,70,1409
374,48,726,72,941,64,1421
375,41,686,52,950,48,1391
376,42,713,71,959,61,1440
377,44,693,66,927,71,1429
378,49,738,63,992,62,1476
379,35,730,64,977,98,1470
380,47,754,65,1017,79,1498
381,40,749,65,1021,86,1510
382,50,727,71,1006,80,1493
383,52,728,64,990,60,1520
384,53,758,67,1032,87,1512
385,48,760,70,1047,76,1548
386,39,757,71,1052,75,1480
387,56,740,79,1017,72,1558
388,45,778,63,1066,70,1510
389,52,768,68,1092,69,1533
390,49,766,62,1084,60,1523
391,55,740,64,1066,58,1479
392,42,780,53,1065,51,1509
393,29,787,42,1070,67,1528
394,48,810,48,1111,59,1481
395,39,784,55,1139,55,1580
396,33,821,52,1156,51,1589
397,35,805,50,1191,61,1537
398,35,849,53,1171,51,1562
399,29,824,50,1182,66,1548
400,40,851,65,1201,58,1583
401,32,854,63,1177,81,1522
402,23,856,63,1267,76,1605
403,35,830,56,1247,77,1479
404,30,805,56,1232,58,1488
405,27,814,55,1234,74,1476
406,34,832,43,1220,71,1493
407,29,823,56,1178,55,1474
408,26,838,39,1133,46,1501
409,24,816,56,1120,56,1473
410,27,795,49,1128,54,1510
411,29,805,52,1082,68,1531
412,19,775,48,1051,60,1510
413,28,796,53,1085,64,1473
414,24,766,39,1094,50,1457
415,15,802,40,1108,49,1509
416,43,799,52,1136,56,1428
417,16,840,45,1132,54,1479
418,32,831,37,1138,57,1465
419,28,798,46,1093,60,1428
420,29,806,48,1082,58,1479
421,31,814,39,1124,57,1451
422,36,837,39,1088,74,1509
423,26,851,51,1125,54,1509
424,32,844,44,1154,65,1540
