/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SIFT
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
174,59,1752,178,1143,28,3034
175,60,1702,184,1195,25,3006
176,70,1723,170,1229,24,3168
177,64,1746,163,1339,24,3175
178,61,1754,145,1284,18,3055
179,44,1658,176,1387,22,3178
180,58,1682,159,1448,18,3282
181,41,1704,173,1471,14,3145
182,49,1712,138,1466,22,3075
183,46,1613,137,1459,14,2826
184,46,1682,124,1413,17,2714
185,43,1730,139,1427,19,2762
186,58,1772,116,1452,14,2752
187,59,1590,129,1388,19,2803
188,58,1609,104,1332,17,2948
189,56,1587,95,1372,13,3088
190,51,1675,97,1311,8,3108
191,45,1587,108,1312,19,3135
192,46,1590,97,1325,31,3176
193,52,1497,97,1253,22,3148
194,49,1438,96,1261,24,3057
195,62,1529,99,1285,23,3040
196,61,1470,82,1228,27,2954
197,47,1436,78,1201,19,2975
198,48,1380,87,1222,20,2711
199,52,1400,89,1253,21,2763
200,50,1406,98,1257,16,2774
201,52,1449,97,1277,19,2820
202,66,1503,85,1273,19,2828
203,49,1459,95,1249,10,2987
204,58,1561,94,1315,13,3027
205,45,1562,88,1306,22,3028
206,51,1560,87,1314,22,3116
207,54,1550,87,1331,19,3193
208,56,1488,95,1361,14,3205
209,46,1552,85,1354,16,3164
210,52,1527,100,1406,12,3185
211,54,1631,85,1338,19,3282
212,53,1698,66,1342,21,3164
213,54,1625,82,1405,22,3029
214,47,1714,88,1451,16,3307
215,53,1718,87,1412,18,3283
216,56,1708,92,1502,23,3201
217,68,1707,77,1462,11,3211
218,68,1752,81,1436,25,3277
219,78,1767,85,1453,22,2947
220,75,1752,94,1479,15,3118
221,61,1716,75,1533,15,3218
222,55,1753,74,1499,11,3114
223,71,1790,67,1493,14,3139
224,58,1695,75,1519,18,3124
225,77,1972,78,1472,22,3082
226,61,1780,87,1451,22,3103
227,63,1819,103,1540,20,3097
228,66,1785,78,1591,18,3259
229,54,1792,68,1583,18,3067
230,61,1837,78,1653,13,3158
231,59,1683,82,1591,9,3088
232,63,1753,87,1615,15,3144
233,63,1789,84,1587,20,3033
234,60,1840,86,1623,18,2833
235,56,1785,95,1682,12,2927
236,56,1583,77,1699,17,2837
237,58,1663,76,1701,13,2860
238,56,1581,75,1801,25,3054
239,67,1668,73,1721,21,2959
240,53,1486,73,1661,25,3156
241,72,1533,78,1561,23,3278
242,56,1521,78,1580,15,3286
243,74,1622,78,1592,23,3283
244,51,1554,86,1652,25,3266
245,53,1497,84,1670,17,2995
246,66,1530,85,1710,22,3179
247,63,1462,77,1654,26,3336
248,58,1444,89,1653,25,3434
249,54,1461,92,1539,15,3384
250,60,1506,82,1514,21,3140
251,69,1483,77,1523,11,3223
252,63,1496,82,1518,21,3176
253,50,1505,76,1586,20,3074
254,56,1463,76,1568,21,3355
255,55,1464,81,1652,20,3300
256,52,1487,72,1586,10,3449
257,63,1453,82,1738,19,3522
258,64,1442,77,2064,16,3665
259,55,1500,69,2066,12,3506
260,56,1463,76,2060,22,3526
261,58,1506,77,2073,16,3623
262,55,1727,65,2121,27,3664
263,67,1710,84,2086,28,3686
264,66,1701,81,2151,25,3423
265,64,1640,82,2058,23,3477
266,65,1587,95,1934,29,3363
267,66,1720,89,2047,36,3446
268,74,1733,82,2217,35,3500
269,74,1806,82,2299,28,3439
270,67,1617,84,2277,29,3524
271,68,1662,88,2465,28,3473
272,67,1663,89,2464,23,3421
273,74,1742,90,2440,23,3537
274,62,1801,90,2332,24,3634
275,71,1684,84,2396,21,3685
276,73,1691,96,2562,26,3640
277,72,1741,103,2472,23,3715
278,68,1741,89,2471,32,3760
279,71,1706,80,2469,25,3749
280,88,1685,88,2522,22,3826
281,75,1682,111,2728,25,3870
282,75,1712,99,2852,24,3814
283,82,1719,99,2920,31,3764
284,85,1764,95,2871,23,3700
285,74,1762,126,2851,24,3571
286,87,1921,105,2759,26,4203
287,72,1744,97,2399,27,4135
288,82,1784,118,2288,24,4138
289,86,1730,114,2246,20,4039
290,78,1875,112,2148,24,4086
291,87,1721,106,2132,30,4384
292,66,1778,115,2120,15,4390
293,73,1719,102,1990,18,4371
294,84,1831,105,1869,19,4242
295,69,1700,118,1981,28,4071
296,72,1760,132,1999,27,4075
297,77,1694,124,1914,29,3899
298,81,1765,110,2073,23,3782
299,72,1691,118,2095,30,3801
300,75,1670,113,2071,25,3806
301,76,1635,112,2113,25,3787
302,70,1602,118,2072,24,3627
303,65,1569,125,2049,21,3616
304,70,1495,109,2006,31,3511
305,94,1544,117,2098,26,3398
306,58,1513,115,2214,25,3385
307,83,1599,108,2202,40,3285
308,73,1490,113,2059,27,3103
309,78,1446,106,2030,31,3015
310,75,1529,121,1937,34,2987
311,77,1645,120,2017,30,3190
312,66,1616,128,2066,27,3248
313,69,1546,113,1972,28,3175
314,61,1636,125,1973,28,3289
315,79,1681,105,1803,20,3338
316,85,1600,128,1757,35,3588
317,89,1599,118,1783,30,3527
318,79,1655,117,1748,29,3410
319,84,1703,129,1799,39,3280
320,71,1619,138,1796,35,3068
321,76,1744,130,1796,38,2971
322,88,1706,128,1752,30,2799
323,69,1783,125,1773,32,3015
324,80,1664,132,1778,35,2925
325,80,1727,119,1748,34,2894
326,69,1672,128,1854,27,2939
327,84,1786,164,1752,23,3062
328,69,1782,148,1707,28,3024
329,74,1713,157,1625,31,3070
330,72,1705,170,1727,29,3159
331,72,1776,181,1732,25,3176
332,77,1893,185,1781,26,3066
333,79,1707,191,1750,22,3001
334,90,1864,164,1691,28,3102
335,70,1815,175,1640,24,2973
336,87,1858,196,1656,32,3250
337,73,1874,171,1600,28,3210
338,70,1953,192,1709,36,3393
339,72,1770,182,1616,35,3336
340,66,1906,209,1798,37,3339
341,57,1734,194,1699,35,3126
342,65,1766,211,1788,38,3176
343,80,1801,215,1736,39,3252
344,66,1819,212,1892,37,3201
345,72,1795,196,1920,42,3130
346,71,1818,216,1941,51,3143
