/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
197,33,566,21,825,22,1727
198,32,546,33,860,22,1689
199,37,572,20,854,19,1705
200,44,559,25,860,24,1689
201,37,553,14,833,26,1717
202,29,509,30,836,20,1656
203,38,559,19,818,26,1707
204,43,552,17,826,19,1739
205,41,562,20,837,22,1725
206,32,543,18,857,22,1770
207,35,567,30,836,18,1796
208,35,538,21,808,31,1859
209,34,556,21,824,29,1795
210,36,576,39,804,24,1908
211,34,572,30,761,23,1860
212,26,552,26,783,16,1887
213,37,582,34,796,25,1845
214,26,555,21,837,18,2011
215,22,540,20,810,40,1980
216,28,548,27,825,24,1920
217,36,545,24,815,35,1957
218,44,542,30,802,34,1986
219,22,525,19,778,25,1870
220,45,536,19,811,25,1947
221,39,551,21,789,23,1966
222,49,551,20,807,23,1894
223,41,560,32,829,26,1906
224,35,598,19,869,22,1892
225,34,596,23,832,30,1949
226,46,622,27,823,21,2009
227,36,588,21,849,19,1987
228,45,590,24,847,21,2055
229,47,595,18,838,32,2061
230,45,592,24,851,29,2074
231,50,556,26,874,24,2053
232,41,567,29,911,18,2021
233,30,566,27,963,27,2000
234,34,551,21,955,21,1839
235,39,539,31,941,25,1888
236,36,517,36,970,16,1789
237,30,546,31,985,24,1841
238,38,496,29,1020,23,1927
239,32,520,16,969,21,1837
240,30,520,28,951,17,1858
241,39,535,37,957,26,1882
242,43,518,27,962,27,1864
243,50,547,38,982,26,1879
244,51,542,32,970,26,1902
245,48,536,34,945,24,1849
246,43,540,26,972,27,1819
247,38,523,25,918,26,1897
248,49,567,25,921,22,1875
249,41,569,24,928,16,1905
250,41,602,31,919,23,1798
251,56,609,31,934,25,1915
252,51,598,30,880,29,1933
253,52,601,14,906,28,1862
254,52,605,33,910,27,1984
255,39,599,27,951,26,2003
256,49,566,22,961,18,2051
257,57,600,25,973,26,2051
258,39,586,28,1085,25,2102
259,35,552,25,1043,32,2114
260,42,560,28,1057,26,2118
261,52,587,32,1045,25,2126
262,57,613,37,1074,28,2100
263,52,602,30,1104,31,2113
264,52,572,33,1124,50,2053
265,40,559,28,1130,26,2075
266,54,535,46,1078,30,2013
267,52,529,55,1047,28,2024
268,52,556,24,1068,31,2083
269,52,557,31,1074,24,1988
270,53,548,25,1076,39,2053
271,48,555,44,1109,35,2014
272,43,580,32,1100,27,1993
273,53,551,39,1115,32,2004
274,61,538,41,1105,29,1988
275,57,526,43,1119,31,1983
276,54,542,35,1126,28,1980
277,57,545,56,1139,27,2037
278,48,514,29,1159,29,2033
279,50,542,30,1163,35,2070
280,51,532,32,1111,34,2071
281,65,550,36,1118,33,2068
282,56,557,23,1124,30,2064
283,62,543,30,1166,36,1971
284,61,566,32,1176,45,1990
285,73,555,21,1149,30,1962
286,63,580,33,1146,25,2111
287,71,544,35,1135,29,2088
288,58,590,34,1141,26,2161
289,56,565,33,1106,27,2073
290,64,608,21,1134,26,2150
291,73,602,30,1124,38,2274
292,57,615,34,1132,28,2170
293,60,593,33,1121,30,2126
294,71,633,37,1088,27,2097
295,73,616,34,1096,29,2121
296,73,608,20,1126,27,2113
297,63,573,40,1111,34,2008
298,62,590,34,1148,43,1934
299,58,584,35,1123,27,1883
300,56,618,46,1097,42,1894
301,65,601,35,1118,34,1807
302,48,630,19,1127,29,1745
303,73,618,34,1111,44,1730
304,56,641,23,1120,41,1684
305,55,649,33,1110,45,1725
306,58,642,26,1120,45,1697
307,57,614,24,1133,42,1624
308,50,627,30,1118,26,1586
309,56,615,32,1139,35,1612
310,48,590,35,1094,38,1585
311,63,605,31,1143,33,1732
312,60,647,48,1130,41,1695
313,65,624,28,1109,39,1715
314,57,617,30,1103,40,1666
315,54,640,38,1063,32,1674
316,48,659,18,1093,40,1705
317,47,644,29,1095,44,1679
318,52,619,28,1094,41,1707
319,48,660,19,1076,44,1661
320,52,647,31,1057,47,1657
321,50,619,30,1034,48,1656
322,60,640,31,1008,43,1559
323,52,615,29,1030,42,1684
324,41,644,34,1041,56,1696
325,50,620,22,1026,49,1632
326,49,655,27,1099,45,1648
327,46,637,29,999,56,1674
328,49,672,31,991,48,1676
329,52,660,30,977,34,1686
330,52,659,33,1005,52,1753
331,46,648,36,1002,45,1735
332,55,664,29,1029,42,1687
333,60,627,25,1001,41,1645
334,53,640,33,945,40,1664
335,54,638,33,993,45,1659
336,53,593,38,987,46,1661
337,65,639,38,965,45,1716
338,59,659,36,1010,56,1739
339,52,653,38,989,56,1780
340,53,688,43,1040,41,1758
341,49,703,41,1024,50,1765
342,47,706,37,1051,56,1816
343,44,721,41,1138,52,1836
344,44,708,28,1116,42,1813
345,46,677,31,1100,42,1803
346,51,728,39,1107,43,1812
347,46,724,56,1120,40,1820
348,48,750,35,1099,38,1808
349,68,737,45,1052,36,1803
350,58,731,42,1101,38,1897
351,51,725,40,1069,39,1912
352,54,729,45,1081,46,1904
353,52,713,48,1087,37,1939
354,48,725,36,1060,38,1924
355,62,765,45,1131,44,1924
356,59,736,35,1119,39,1822
357,63,752,46,1163,43,1884
358,49,746,40,1168,52,1909
359,58,738,44,1201,46,1953
360,61,813,48,1181,54,1896
361,63,784,44,1250,50,1861
362,55,826,44,1227,46,1882
363,53,786,63,1289,47,1892
364,53,818,48,1271,44,1817
365,40,753,44,1244,51,1872
366,47,770,57,1210,61,1894
367,44,738,48,1129,54,1834
368,51,756,49,1055,46,1815
369,48,761,39,1012,46,1879
370,35,701,24,976,52,1857
371,43,735,51,988,54,1841
372,50,718,46,929,62,1875
373,66,733,54,968,83,1863
374,59,726,58,941,67,1909
375,59,686,56,950,58,1978
376,64,713,63,959,66,1904
377,56,693,67,927,62,1955
378,74,738,68,992,70,1926
379,69,730,69,977,88,1881
380,73,754,59,1017,74,1824
381,82,749,66,1021,74,1805
382,71,727,74,1006,75,1848
383,49,728,45,990,68,1789
384,69,758,48,1032,76,1860
385,67,760,77,1047,65,1837
386,61,757,65,1052,69,1872
387,55,740,57,1017,71,1817
388,74,778,74,1066,75,1892
389,68,768,54,1092,62,1858
390,63,766,55,1084,65,1913
391,56,740,67,1066,64,1881
392,60,780,71,1065,56,1932
393,63,787,61,1070,59,1913
394,66,810,66,1111,40,1834
395,61,784,60,1139,52,1807
396,62,821,53,1156,48,1851
397,47,805,50,1191,55,1838
398,59,849,51,1171,54,1920
399,65,824,71,1182,52,1865
400,61,851,65,1201,54,1884
401,51,854,44,1177,47,1911
402,58,856,52,1267,67,1941
403,56,830,49,1247,65,1780
404,45,805,57,1232,65,1838
405,56,814,59,1234,58,1721
406,41,832,39,1220,67,1772
407,50,823,60,1178,63,1692
408,54,838,41,1133,55,1742
409,58,816,52,1120,40,1720
410,41,795,49,1128,65,1777
411,48,805,52,1082,49,1812
412,41,775,47,1051,44,1727
413,37,796,46,1085,55,1759
414,44,766,45,1094,49,1822
415,43,802,44,1108,49,1869
416,53,799,42,1136,47,1808
417,48,840,37,1132,45,1785
418,53,831,37,1138,49,1839
419,60,798,52,1093,58,1836
420,61,806,29,1082,54,1883
421,69,814,45,1124,71,1913
422,52,837,32,1088,57,1809
423,66,851,50,1125,56,1802
424,60,844,35,1154,55,1789
425,54,841,34,1197,67,1773
426,54,817,48,1235,61,1824
427,69,855,45,1234,67,1860
428,60,858,38,1203,59,1806
429,73,882,59,1222,57,1802
430,77,849,54,1255,59,1824
431,75,897,48,1286,56,1698
432,63,873,56,1234,63,1629
433,62,868,55,1254,74,1729
434,60,837,53,1228,68,1728
435,74,847,69,1211,77,1683
436,70,848,73,1193,61,1606
437,66,860,60,1176,57,1706
438,68,848,55,1144,65,1739
439,65,852,69,1160,53,1720
440,76,829,56,1165,55,1745
441,83,823,56,1191,62,1752
442,79,786,60,1185,73,1668
443,74,827,62,1234,58,1665
444,76,836,65,1180,59,1668
445,74,816,58,1186,55,1698
446,78,829,61,1184,51,1709
447,66,778,62,1164,72,1753
448,81,819,68,1201,60,1800
449,73,844,69,1209,63,1758
450,78,813,54,1231,61,1764
451,58,865,61,1239,53,1818
452,77,861,62,1228,55,1839
453,80,885,55,1258,54,1809
454,74,855,63,1221,54,1794
455,79,867,75,1229,36,1726
456,69,825,64,1196,41,1703
457,76,886,61,1176,53,1704
458,94,895,88,1120,53,1697
459,79,911,75,1110,48,1636
460,77,857,75,1136,43,1608
461,87,899,79,1228,49,1632
462,84,882,89,1312,47,1617
463,89,895,86,1283,43,1596
464,88,885,88,1239,60,1561
465,73,902,69,1234,46,1581
466,53,906,69,1273,62,1534
467,61,911,71,1287,53,1515
468,83,881,78,1276,66,1554
469,72,921,69,1351,57,1550
470,71,930,79,1320,52,1495
471,78,881,79,1398,71,1498
472,64,867,80,1346,55,1555
473,70,904,77,1355,61,1580
474,63,920,74,1340,48,1668
475,69,938,71,1318,50,1626
476,63,896,63,1284,50,1629
477,64,896,62,1282,70,1587
478,52,920,81,1259,55,1631
479,81,930,73,1260,68,1612
480,74,929,71,1235,59,1628
481,69,917,80,1270,68,1667
482,75,897,77,1270,45,1673
483,63,882,75,1275,42,1558
484,62,885,72,1253,38,1636
485,64,891,82,1262,51,1669
486,74,846,72,1266,45,1683
