/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SIFT
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
178,61,1030,36,1284,24,3055
179,34,1089,31,1387,23,3178
180,44,1041,39,1448,22,3282
181,40,1062,35,1471,20,3145
182,45,976,35,1466,22,3075
183,49,1042,32,1459,17,2826
184,47,958,35,1413,16,2714
185,60,1010,34,1427,12,2762
186,52,977,30,1452,21,2752
187,57,988,42,1388,20,2803
188,57,1011,18,1332,17,2948
189,48,1022,30,1372,14,3088
190,38,920,15,1311,18,3108
191,46,903,20,1312,14,3135
192,37,880,25,1325,17,3176
193,45,931,32,1253,16,3148
194,52,920,29,1261,21,3057
195,52,976,20,1285,11,3040
196,51,871,35,1228,16,2954
197,57,881,28,1201,19,2975
198,35,873,24,1222,19,2711
199,59,918,32,1253,18,2763
200,46,920,26,1257,15,2774
201,50,933,22,1277,16,2820
202,54,869,36,1273,19,2828
203,43,898,24,1249,22,2987
204,47,881,27,1315,22,3027
205,48,899,19,1306,23,3028
206,50,894,21,1314,22,3116
207,49,925,18,1331,21,3193
208,47,904,27,1361,24,3205
209,47,983,32,1354,20,3164
210,51,1023,27,1406,22,3185
211,55,984,29,1338,21,3282
212,42,906,27,1342,14,3164
213,52,930,33,1405,28,3029
214,45,905,26,1451,29,3307
215,44,821,24,1412,28,3283
216,46,927,33,1502,26,3201
217,50,906,27,1462,26,3211
218,42,843,27,1436,26,3277
219,54,872,40,1453,22,2947
220,58,900,31,1479,19,3118
221,44,872,30,1533,23,3218
222,45,829,22,1499,21,3114
223,49,872,28,1493,11,3139
224,53,925,43,1519,28,3124
225,67,903,35,1472,20,3082
226,50,931,33,1451,16,3103
227,45,925,31,1540,18,3097
228,54,946,31,1591,16,3259
229,55,910,32,1583,22,3067
230,44,896,30,1653,24,3158
231,53,851,32,1591,24,3088
232,37,812,25,1615,24,3144
233,38,862,27,1587,20,3033
234,48,827,29,1623,15,2833
235,46,836,31,1682,20,2927
236,60,749,15,1699,24,2837
237,41,771,29,1701,15,2860
238,46,697,27,1801,27,3054
239,60,774,29,1721,23,2959
240,46,783,23,1661,21,3156
241,47,787,28,1561,19,3278
242,56,734,25,1580,20,3286
243,66,786,20,1592,13,3283
244,50,764,34,1652,22,3266
245,64,804,29,1670,19,2995
246,63,763,29,1710,24,3179
247,58,748,21,1654,28,3336
248,50,841,19,1653,27,3434
249,62,836,34,1539,30,3384
250,54,786,23,1514,34,3140
251,54,869,19,1523,15,3223
252,46,822,27,1518,30,3176
253,50,855,32,1586,18,3074
254,63,870,33,1568,15,3355
255,55,849,34,1652,13,3300
256,51,799,33,1586,20,3449
257,55,804,34,1738,22,3522
258,62,825,30,2064,14,3665
259,67,769,24,2066,24,3506
260,58,768,30,2060,16,3526
261,73,834,14,2073,16,3623
262,53,780,29,2121,31,3664
263,59,854,32,2086,29,3686
264,52,803,26,2151,24,3423
265,58,835,36,2058,22,3477
266,60,808,27,1934,23,3363
267,68,798,26,2047,23,3446
268,68,800,10,2217,14,3500
269,88,848,31,2299,24,3439
270,71,826,27,2277,29,3524
271,65,834,18,2465,25,3473
272,67,865,39,2464,22,3421
273,70,840,32,2440,30,3537
274,73,851,16,2332,31,3634
275,70,823,24,2396,29,3685
276,73,841,24,2562,28,3640
277,70,862,30,2472,35,3715
278,64,778,35,2471,32,3760
279,69,778,30,2469,23,3749
280,82,789,29,2522,22,3826
281,68,821,29,2728,31,3870
282,66,870,30,2852,32,3814
283,62,838,29,2920,25,3764
284,74,898,35,2871,22,3700
285,65,877,37,2851,14,3571
286,77,938,25,2759,17,4203
287,67,932,22,2399,14,4135
288,76,966,22,2288,22,4138
289,77,889,27,2246,32,4039
290,74,997,33,2148,30,4086
291,72,926,26,2132,24,4384
292,67,973,24,2120,18,4390
293,70,971,34,1990,18,4371
294,73,991,31,1869,25,4242
295,63,942,27,1981,25,4071
296,59,1008,32,1999,28,4075
297,57,915,30,1914,39,3899
298,63,996,29,2073,37,3782
299,53,890,25,2095,32,3801
300,73,938,34,2071,42,3806
301,75,947,33,2113,39,3787
302,64,934,30,2072,35,3627
303,59,886,26,2049,37,3616
304,60,944,25,2006,37,3511
305,69,942,31,2098,30,3398
306,73,982,27,2214,39,3385
307,61,867,21,2202,31,3285
308,58,977,32,2059,38,3103
309,72,938,34,2030,36,3015
310,70,895,39,1937,26,2987
311,57,942,31,2017,34,3190
312,57,937,30,2066,32,3248
313,61,944,32,1972,43,3175
314,52,952,31,1973,42,3289
315,73,934,31,1803,38,3338
316,72,976,44,1757,43,3588
317,51,959,43,1783,40,3527
318,73,909,26,1748,37,3410
319,68,942,22,1799,59,3280
320,73,987,45,1796,44,3068
321,73,902,47,1796,43,2971
322,77,993,56,1752,54,2799
323,53,913,37,1773,51,3015
324,65,972,36,1778,52,2925
325,69,993,35,1748,49,2894
326,56,1010,33,1854,57,2939
327,54,984,43,1752,49,3062
328,65,1067,38,1707,52,3024
329,71,1023,39,1625,64,3070
330,59,1055,28,1727,49,3159
331,62,973,50,1732,52,3176
332,67,1048,29,1781,45,3066
333,72,1013,41,1750,42,3001
334,67,1064,32,1691,56,3102
335,64,1106,39,1640,46,2973
336,59,1051,43,1656,41,3250
337,65,1058,41,1600,40,3210
338,68,1079,29,1709,50,3393
339,64,1041,42,1616,40,3336
340,70,1097,40,1798,47,3339
341,63,1118,45,1699,49,3126
342,60,1105,46,1788,40,3176
343,66,1195,38,1736,32,3252
344,61,1163,32,1892,44,3201
345,55,1100,35,1920,33,3130
346,60,1172,36,1941,33,3143
347,60,1153,45,1975,27,3004
348,63,1203,39,1985,34,2968
349,70,1162,47,1945,40,2779
350,55,1102,50,1840,43,3181
351,57,1156,48,1776,33,3149
352,65,1186,45,1679,45,3213
353,50,1060,37,1725,42,3304
354,53,1109,43,1747,44,3259
355,47,1120,39,1861,42,3235
356,53,1143,39,1797,41,3021
357,73,1123,45,1819,46,3030
358,49,1160,44,1786,53,3189
359,54,1132,46,1856,57,3200
360,54,1205,47,1871,46,3107
361,49,1119,52,1937,51,3233
362,45,1214,48,1980,56,3280
363,51,1197,50,1996,54,3299
364,44,1270,45,1933,56,3178
365,49,1217,35,1991,61,3351
366,47,1304,44,1969,51,3365
367,55,1207,50,1843,40,3257
368,61,1258,51,1744,42,3265
369,62,1185,44,1772,44,3263
370,42,1117,51,1668,78,3369
371,56,1177,38,1694,67,3279
372,66,1113,42,1617,58,3225
373,61,1165,53,1572,54,3250
374,51,1093,60,1540,61,3298
375,46,1088,53,1531,58,3432
376,52,1125,48,1492,46,3228
377,55,1059,56,1544,64,3206
378,76,1111,71,1655,55,3336
379,62,1107,63,1641,50,3269
380,69,1085,65,1697,53,3106
381,60,1087,60,1669,40,3158
382,72,1076,59,1651,71,3255
383,70,1077,59,1528,66,3008
384,82,1060,51,1658,60,3103
385,66,1110,66,1684,60,2984
386,58,1101,55,1620,44,3114
387,64,1124,57,1627,43,2959
388,63,1143,60,1700,60,3143
389,64,1175,53,1736,53,3023
390,60,1161,51,1632,71,3129
391,65,1183,49,1612,61,3110
392,72,1231,70,1615,45,3097
393,66,1216,53,1636,40,3078
394,59,1235,64,1641,67,3043
395,63,1220,49,1702,59,2980
396,68,1262,62,1690,59,2948
