/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_3_FALL.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_2_SUMMER.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_1_SPRING.mov
/Users/lukas/PycharmProjects/Dissertation/experiments/exp_train/data/_4_WINTER.mov
mode: SURF
video_frame,good_matches_1in0,all_matches_1in0,good_matches_2in0,all_matches_2in0,good_matches_3in0,all_matches_3in0
185,126,706,41,1259,36,1761
186,111,646,46,1291,31,1723
187,115,681,39,1162,26,1764
188,94,630,31,1212,29,1766
189,79,632,44,1164,21,1780
190,100,624,41,1222,19,1820
191,105,655,39,1179,16,1905
192,88,619,45,1211,19,1835
193,80,620,40,1165,10,1829
194,87,589,23,1113,9,1787
195,91,601,45,1176,15,1703
196,94,552,38,1167,13,1730
197,77,566,20,1110,17,1727
198,63,546,35,1108,10,1689
199,68,572,28,1172,18,1705
200,66,559,33,1151,11,1689
201,84,553,55,1207,20,1717
202,69,509,50,1201,19,1656
203,71,559,30,1179,24,1707
204,57,552,25,1255,13,1739
205,66,562,28,1306,24,1725
206,68,543,29,1268,15,1770
207,72,567,50,1263,17,1796
208,67,538,33,1207,21,1859
209,63,556,36,1291,15,1795
210,71,576,33,1228,19,1908
211,72,572,61,1309,28,1860
212,58,552,43,1332,16,1887
213,77,582,47,1262,20,1845
214,74,555,33,1233,15,2011
215,61,540,53,1270,20,1980
216,61,548,35,1290,22,1920
217,74,545,48,1290,25,1957
218,75,542,49,1258,29,1986
219,65,525,33,1262,17,1870
220,66,536,36,1276,23,1947
221,66,551,36,1231,26,1966
222,71,551,31,1266,17,1894
223,63,560,40,1292,14,1906
224,60,598,29,1262,19,1892
225,69,596,36,1376,17,1949
226,55,622,30,1262,14,2009
227,69,588,51,1388,20,1987
228,52,590,42,1351,13,2055
229,57,595,46,1370,20,2061
230,66,592,46,1422,17,2074
231,63,556,44,1289,26,2053
232,61,567,41,1336,17,2021
233,70,566,43,1407,22,2000
234,68,551,54,1404,18,1839
235,54,539,39,1387,19,1888
236,54,517,38,1268,13,1789
237,67,546,51,1287,26,1841
238,60,496,34,1266,17,1927
239,59,520,39,1312,25,1837
240,61,520,42,1142,18,1858
241,50,535,40,1228,18,1882
242,49,518,28,1191,18,1864
243,77,547,48,1265,22,1879
244,73,542,51,1195,20,1902
245,63,536,36,1139,18,1849
246,67,540,49,1163,24,1819
247,66,523,37,1207,16,1897
248,57,567,44,1151,20,1875
249,61,569,29,1188,14,1905
250,70,602,48,1123,15,1798
251,63,609,42,1137,12,1915
252,66,598,36,1071,17,1933
253,69,601,35,1080,18,1862
254,75,605,40,1132,19,1984
255,73,599,42,1056,24,2003
256,67,566,40,1044,23,2051
257,74,600,43,1005,21,2051
258,73,586,29,1029,23,2102
259,66,552,39,1054,26,2114
260,73,560,39,1033,21,2118
261,56,587,37,1116,24,2126
262,61,613,49,1162,28,2100
263,63,602,51,1116,18,2113
264,57,572,40,1119,24,2053
265,62,559,48,1122,26,2075
266,71,535,64,1070,14,2013
267,68,529,45,1211,19,2024
268,79,556,49,1243,22,2083
269,63,557,46,1242,17,1988
270,65,548,39,1113,25,2053
271,60,555,37,1167,21,2014
272,64,580,44,1238,23,1993
273,73,551,52,1272,30,2004
274,76,538,50,1200,25,1988
275,66,526,37,1151,31,1983
276,64,542,44,1197,34,1980
277,63,545,33,1219,26,2037
278,60,514,36,1264,19,2033
279,66,542,32,1258,47,2070
280,75,532,42,1260,39,2071
281,82,550,38,1235,19,2068
282,98,557,44,1257,30,2064
283,82,543,41,1285,23,1971
284,78,566,46,1291,25,1990
285,86,555,45,1313,32,1962
286,84,580,47,1369,35,2111
287,77,544,42,1272,27,2088
288,77,590,35,1334,39,2161
289,106,565,54,1244,36,2073
290,87,608,41,1360,50,2150
291,103,602,42,1327,29,2274
292,89,615,46,1354,35,2170
293,97,593,37,1329,25,2126
294,95,633,52,1395,38,2097
295,90,616,39,1268,37,2121
296,91,608,46,1324,25,2113
297,92,573,49,1269,19,2008
298,86,590,53,1344,24,1934
299,90,584,54,1303,30,1883
300,89,618,51,1284,49,1894
301,77,601,54,1279,29,1807
302,81,630,45,1240,29,1745
303,82,618,53,1232,30,1730
304,84,641,48,1146,31,1684
305,86,649,48,1158,35,1725
306,100,642,53,1161,33,1697
307,96,614,58,1195,47,1624
308,86,627,42,1151,38,1586
309,65,615,49,1138,25,1612
310,84,590,39,1137,28,1585
311,77,605,50,1176,32,1732
312,97,647,41,1176,26,1695
313,72,624,43,1144,24,1715
314,75,617,26,1151,22,1666
315,87,640,31,1142,27,1674
316,82,659,49,1142,32,1705
317,77,644,38,1138,28,1679
318,85,619,45,1158,35,1707
319,83,660,49,1175,47,1661
320,77,647,41,1204,32,1657
321,102,619,49,1259,38,1656
322,107,640,44,1248,49,1559
323,100,615,40,1278,29,1684
324,100,644,49,1230,31,1696
325,95,620,51,1265,29,1632
326,106,655,47,1229,29,1648
327,114,637,38,1211,27,1674
328,117,672,39,1232,29,1676
329,134,660,46,1238,39,1686
330,133,659,39,1304,40,1753
331,132,648,43,1315,28,1735
332,121,664,48,1391,38,1687
333,138,627,41,1303,28,1645
334,127,640,53,1364,27,1664
335,116,638,43,1284,28,1659
336,119,593,55,1267,30,1661
337,117,639,54,1331,49,1716
338,126,659,46,1345,40,1739
339,119,653,39,1257,31,1780
340,141,688,55,1328,30,1758
341,144,703,53,1270,51,1765
342,138,706,41,1297,38,1816
343,160,721,45,1325,37,1836
344,136,708,42,1340,43,1813
345,120,677,38,1306,35,1803
346,140,728,61,1339,37,1812
347,131,724,57,1349,48,1820
348,144,750,62,1395,42,1808
349,146,737,41,1343,53,1803
350,136,731,64,1396,37,1897
351,139,725,62,1416,40,1912
352,155,729,56,1412,30,1904
353,122,713,43,1354,40,1939
354,142,725,53,1402,38,1924
355,155,765,48,1381,42,1924
356,153,736,56,1422,43,1822
357,149,752,55,1368,48,1884
358,160,746,58,1341,57,1909
359,150,738,57,1350,60,1953
360,166,813,49,1402,57,1896
